0 1.000000e+00 8.560614e-01 1.000000e+00 8.560614e-01 1.000000e+00 8.560614e-01 1.000000e+00 8.560614e-01 1.000000e+00 8.560614e-01
10 4.168188e-01 3.655386e-01 4.178032e-01 3.662123e-01 4.192580e-01 3.672071e-01 4.191590e-01 3.671394e-01 4.176455e-01 3.661045e-01
20 2.234902e-01 1.595909e-01 2.242237e-01 1.599747e-01 2.253142e-01 1.605479e-01 2.252398e-01 1.605087e-01 2.241060e-01 1.599131e-01
30 1.571783e-01 1.254324e-01 1.578675e-01 1.259389e-01 1.588987e-01 1.266951e-01 1.588281e-01 1.266434e-01 1.577567e-01 1.258575e-01
40 1.167662e-01 8.250433e-02 1.172506e-01 8.283182e-02 1.179834e-01 8.332775e-02 1.179329e-01 8.329357e-02 1.171724e-01 8.277895e-02
50 9.408805e-02 7.265786e-02 9.442258e-02 7.287270e-02 9.493838e-02 7.320476e-02 9.490249e-02 7.318163e-02 9.436823e-02 7.283776e-02
60 6.988903e-02 5.188964e-02 7.005490e-02 5.202582e-02 7.032479e-02 5.224414e-02 7.030551e-02 5.222865e-02 7.002743e-02 5.200338e-02
70 5.865323e-02 4.147787e-02 5.872407e-02 4.150085e-02 5.885589e-02 4.155443e-02 5.884593e-02 4.155006e-02 5.871172e-02 4.149644e-02
80 4.767231e-02 3.524883e-02 4.766961e-02 3.523048e-02 4.769483e-02 3.522425e-02 4.769205e-02 3.522391e-02 4.766895e-02 3.523263e-02
90 3.941936e-02 2.897217e-02 3.936587e-02 2.892994e-02 3.931769e-02 2.888941e-02 3.931984e-02 2.889136e-02 3.937328e-02 2.893588e-02
100 3.444442e-02 2.500765e-02 3.433332e-02 2.493599e-02 3.420285e-02 2.485353e-02 3.421050e-02 2.485829e-02 3.434984e-02 2.494658e-02
110 3.121041e-02 2.214452e-02 3.104002e-02 2.200904e-02 3.082568e-02 2.183598e-02 3.083890e-02 2.184677e-02 3.106588e-02 2.202970e-02
120 2.802123e-02 2.059766e-02 2.781159e-02 2.044604e-02 2.754374e-02 2.025122e-02 2.756045e-02 2.026342e-02 2.784355e-02 2.046920e-02
130 2.517259e-02 1.827840e-02 2.489095e-02 1.808891e-02 2.452415e-02 1.784260e-02 2.454734e-02 1.785815e-02 2.493415e-02 1.811795e-02
140 2.298882e-02 1.634105e-02 2.265897e-02 1.609798e-02 2.222825e-02 1.577968e-02 2.225554e-02 1.579989e-02 2.270960e-02 1.613532e-02
150 2.113947e-02 1.522173e-02 2.076324e-02 1.494656e-02 2.027190e-02 1.458592e-02 2.030306e-02 1.460884e-02 2.082097e-02 1.498883e-02
160 1.927183e-02 1.398962e-02 1.885053e-02 1.369422e-02 1.830262e-02 1.330932e-02 1.833731e-02 1.333371e-02 1.891506e-02 1.373950e-02
170 1.722409e-02 1.234533e-02 1.675388e-02 1.201191e-02 1.614685e-02 1.158111e-02 1.618514e-02 1.160830e-02 1.682570e-02 1.206286e-02
180 1.613791e-02 1.148871e-02 1.564256e-02 1.112865e-02 1.500609e-02 1.066542e-02 1.504615e-02 1.069459e-02 1.571808e-02 1.118357e-02
190 1.481231e-02 1.080265e-02 1.429211e-02 1.043112e-02 1.362916e-02 9.956055e-03 1.367071e-02 9.985884e-03 1.437118e-02 1.048766e-02
200 1.353979e-02 9.814669e-03 1.298550e-02 9.424475e-03 1.228498e-02 8.930287e-03 1.232870e-02 8.961166e-03 1.306947e-02 9.483639e-03
210 1.263129e-02 8.979206e-03 1.205367e-02 8.564608e-03 1.132915e-02 8.044415e-03 1.137420e-02 8.076768e-03 1.214093e-02 8.627245e-03
220 1.169378e-02 8.427438e-03 1.109508e-02 7.996112e-03 1.035109e-02 7.458903e-03 1.039713e-02 7.492191e-03 1.118520e-02 8.061091e-03
230 1.096197e-02 7.922457e-03 1.034839e-02 7.486548e-03 9.592424e-03 6.948172e-03 9.639005e-03 6.981389e-03 1.044044e-02 7.552007e-03
240 1.022294e-02 7.342971e-03 9.586466e-03 6.892571e-03 8.810176e-03 6.342350e-03 8.857767e-03 6.376109e-03 9.681582e-03 6.959922e-03
250 9.675065e-03 6.878441e-03 9.015156e-03 6.405786e-03 8.217436e-03 5.834412e-03 8.266121e-03 5.869285e-03 9.113432e-03 6.476176e-03
260 9.168828e-03 6.545412e-03 8.497292e-03 6.062624e-03 7.693349e-03 5.484209e-03 7.742172e-03 5.519351e-03 8.596923e-03 6.134273e-03
